station_name,tier,time_in_minutes,power_kw
CS-A89-04,top-up,15,250.0
CS-A89-04,full,40,250.0
CS-A9-01,top-up,15,200.0
CS-A9-01,full,40,200.0
CS-AIXENPROVENCE-21,top-up,15,50.0
CS-AIXENPROVENCE-21,full,40,50.0
CS-AMIENS-24,top-up,15,350.0
CS-AMIENS-24,full,40,350.0
CS-ANGERS-17,top-up,15,175.0
CS-ANGERS-17,full,40,175.0
CS-BORDEAUX-09,top-up,15,175.0
CS-BORDEAUX-09,full,40,175.0
CS-BREST-22,top-up,15,300.0
CS-BREST-22,full,40,300.0
CS-CAEN-30,top-up,15,100.0
CS-CAEN-30,full,40,100.0
CS-CLERMONTFERRAND-19,top-up,15,175.0
CS-CLERMONTFERRAND-19,full,40,175.0
CS-DIJON-16,top-up,15,100.0
CS-DIJON-16,full,40,100.0
CS-GRENOBLE-15,top-up,15,350.0
CS-GRENOBLE-15,full,40,350.0
CS-LEHAVRE-13,top-up,15,350.0
CS-LEHAVRE-13,full,40,350.0
CS-LEMANS-20,top-up,15,300.0
CS-LEMANS-20,full,40,300.0
CS-LILLE-10,top-up,15,300.0
CS-LILLE-10,full,40,300.0
CS-LIMOGES-25,top-up,15,300.0
CS-LIMOGES-25,full,40,300.0
CS-LYON-02,top-up,15,50.0
CS-LYON-02,full,40,50.0
CS-MARSEILLE-03,top-up,15,200.0
CS-MARSEILLE-03,full,40,200.0
CS-METZ-27,top-up,15,75.0
CS-METZ-27,full,40,75.0
CS-MONTPELLIER-07,top-up,15,250.0
CS-MONTPELLIER-07,full,40,250.0
CS-N10-01,top-up,15,175.0
CS-N10-01,full,40,175.0
CS-N10-02,top-up,15,350.0
CS-N10-02,full,40,350.0
CS-N102-01,top-up,15,200.0
CS-N102-01,full,40,200.0
CS-N12-01,top-up,15,300.0
CS-N12-01,full,40,300.0
CS-N122-01,top-up,15,175.0
CS-N122-01,full,40,175.0
CS-N13-01,top-up,15,150.0
CS-N13-01,full,40,150.0
CS-N137-01,top-up,15,350.0
CS-N137-01,full,40,350.0
CS-N147-01,top-up,15,150.0
CS-N147-01,full,40,150.0
CS-N164-01,top-up,15,250.0
CS-N164-01,full,40,250.0
CS-N165-01,top-up,15,150.0
CS-N165-01,full,40,150.0
CS-N176-01,top-up,15,175.0
CS-N176-01,full,40,175.0
CS-N21-01,top-up,15,250.0
CS-N21-01,full,40,250.0
CS-N21-02,top-up,15,350.0
CS-N21-02,full,40,350.0
CS-N24-01,top-up,15,250.0
CS-N24-01,full,40,250.0
CS-N4-01,top-up,15,250.0
CS-N4-01,full,40,250.0
CS-N4-02,top-up,15,200.0
CS-N4-02,full,40,200.0
CS-N4-03,top-up,15,250.0
CS-N4-03,full,40,250.0
CS-N6-01,top-up,15,175.0
CS-N6-01,full,40,175.0
CS-N63-01,top-up,15,250.0
CS-N63-01,full,40,250.0
CS-N70-01,top-up,15,150.0
CS-N70-01,full,40,150.0
CS-N78-01,top-up,15,200.0
CS-N78-01,full,40,200.0
CS-N79-01,top-up,15,200.0
CS-N79-01,full,40,200.0
CS-NANTES-06,top-up,15,100.0
CS-NANTES-06,full,40,100.0
CS-NICE-05,top-up,15,150.0
CS-NICE-05,full,40,150.0
CS-NIMES-18,top-up,15,350.0
CS-NIMES-18,full,40,350.0
CS-ORLEANS-28,top-up,15,75.0
CS-ORLEANS-28,full,40,75.0
CS-PARIS-01,top-up,15,150.0
CS-PARIS-01,full,40,150.0
CS-PERPIGNAN-26,top-up,15,350.0
CS-PERPIGNAN-26,full,40,350.0
CS-REIMS-12,top-up,15,150.0
CS-REIMS-12,full,40,150.0
CS-RENNES-11,top-up,15,175.0
CS-RENNES-11,full,40,175.0
CS-ROUEN-29,top-up,15,175.0
CS-ROUEN-29,full,40,175.0
CS-STRASBOURG-08,top-up,15,250.0
CS-STRASBOURG-08,full,40,250.0
CS-TOULON-14,top-up,15,250.0
CS-TOULON-14,full,40,250.0
CS-TOULOUSE-04,top-up,15,200.0
CS-TOULOUSE-04,full,40,200.0
CS-TOURS-23,top-up,15,300.0
CS-TOURS-23,full,40,300.0
