from_name,to_name,road_ref,road_class,distance_km,free_flow_speed_kph,peak_speed_kph
Brive-la-Gaillarde,CS-A89-03,A89,Motorway,77.7,130,95
Clermont-Ferrand,CS-A89-02,A89,Express,90.3,130,105
Marseille,CS-A9-01,A9,Express,96.7,130,105
Paris,CS-PARIS-01,D700,Local,7.4,80,60
Lyon,CS-LYON-02,D701,Local,10.0,80,60
Marseille,CS-MARSEILLE-03,D702,Local,8.3,80,60
Toulouse,CS-TOULOUSE-04,D703,Local,2.4,80,60
Nice,CS-NICE-05,D704,Local,7.4,80,60
Nantes,CS-NANTES-06,D705,Local,8.0,80,60
Montpellier,CS-MONTPELLIER-07,D706,Local,5.8,80,60
Strasbourg,CS-STRASBOURG-08,D707,Local,7.7,80,60
Bordeaux,CS-BORDEAUX-09,D708,Local,2.9,80,60
Lille,CS-LILLE-10,D709,Local,3.1,80,60
Rennes,CS-RENNES-11,D710,Local,4.6,80,60
Reims,CS-REIMS-12,D711,Local,6.1,80,60
Le Havre,CS-LEHAVRE-13,D712,Local,2.9,80,60
Toulon,CS-TOULON-14,D713,Local,10.6,80,60
Grenoble,CS-GRENOBLE-15,D714,Local,10.2,80,60
Dijon,CS-DIJON-16,D715,Local,2.8,80,60
Angers,CS-ANGERS-17,D716,Local,5.6,80,60
Nimes,CS-NIMES-18,D717,Local,3.5,80,60
Clermont-Ferrand,CS-CLERMONTFERRAND-19,D718,Local,8.8,80,60
Le Mans,CS-LEMANS-20,D719,Local,4.9,80,60
Aix-en-Provence,CS-AIXENPROVENCE-21,D720,Local,5.2,80,60
Brest,CS-BREST-22,D721,Local,4.0,80,60
Tours,CS-TOURS-23,D722,Local,7.6,80,60
Amiens,CS-AMIENS-24,D723,Local,4.1,80,60
Limoges,CS-LIMOGES-25,D724,Local,8.8,80,60
Perpignan,CS-PERPIGNAN-26,D725,Local,6.4,80,60
Metz,CS-METZ-27,D726,Local,6.6,80,60
Orleans,CS-ORLEANS-28,D727,Local,4.5,80,60
Rouen,CS-ROUEN-29,D728,Local,8.5,80,60
Caen,CS-CAEN-30,D729,Local,6.6,80,60
Angouleme,CS-N10-01,N10,Trunk,67.4,110,80
Angouleme,CS-N10-02,N10,Trunk,54.6,110,80
Aurillac,CS-N102-01,N102,Trunk,80.8,110,80
Brest,CS-N12-01,N12,Trunk,67.1,110,80
Aurillac,CS-N122-01,N122,Trunk,74.8,110,80
Caen,CS-N13-01,N13,Trunk,72.4,110,80
Nantes,CS-N137-01,N137,Trunk,64.2,110,80
Limoges,CS-N147-01,N147,Trunk,65.7,110,80
Quimper,CS-N164-01,N164,Trunk,79.9,110,80
Nantes,CS-N165-01,N165,Trunk,67.9,110,80
Saint-Brieuc,CS-N176-01,N176,Trunk,71.3,110,80
Agen,CS-N21-01,N21,Trunk,83.6,110,80
Agen,CS-N21-02,N21,Trunk,53.6,110,80
Lorient,CS-N24-01,N24,Trunk,75.2,110,80
Chaumont,CS-N4-01,N4,Trunk,98.9,110,80
Nancy,CS-N4-02,N4,Trunk,61.6,110,80
Paris,CS-N4-03,N4,Trunk,50.2,110,80
Auxerre,CS-N6-01,N6,Trunk,77.8,110,80
Haguenau,CS-N63-01,N63,Trunk,79.9,110,80
Chalon-sur-Saone,CS-N70-01,N70,Trunk,104.6,110,80
Chalon-sur-Saone,CS-N78-01,N78,Trunk,69.8,110,80
Macon,CS-N79-01,N79,Trunk,64.8,110,80
